timestamp,user,event,ip,file_access,bytes_transferred
2024-01-01T00:00:00,unknown_attacker,login_failure,8.8.8.8,/var/www/html/index_3.html,53786
2024-01-01T00:01:00,user1,login_success,172.16.0.2,/var/www/html/index_5.html,1832
2024-01-01T00:02:00,user1,connection_established,10.0.0.5,/var/www/html/index_2.html,758
2024-01-01T00:03:00,user1,file_write,192.168.1.10,/var/www/html/index_7.html,3099
2024-01-01T00:04:00,user1,logout,10.0.0.5,/var/www/html/index_3.html,3759
2024-01-01T00:05:00,user1,logout,192.168.1.11,/var/www/html/index_1.html,2022
2024-01-01T00:06:00,backup_svc,file_read,10.0.0.5,/var/www/html/index_9.html,2173
2024-01-01T00:07:00,user1,logout,192.168.1.11,/var/www/html/index_9.html,3860
2024-01-01T00:08:00,backup_svc,logout,172.16.0.2,/var/www/html/index_8.html,496
2024-01-01T00:09:00,backup_svc,connection_established,192.168.1.10,/var/www/html/index_1.html,130
2024-01-01T00:10:00,user2,file_read,192.168.1.11,/var/www/html/index_1.html,1908
2024-01-01T00:11:00,user2,file_write,192.168.1.11,/var/www/html/index_7.html,822
2024-01-01T00:12:00,user1,file_read,192.168.1.10,/var/www/html/index_5.html,3695
2024-01-01T00:13:00,user1,connection_established,172.16.0.2,/var/www/html/index_9.html,2580
2024-01-01T00:14:00,user2,logout,192.168.1.10,/var/www/html/index_6.html,980
2024-01-01T00:15:00,user1,logout,192.168.1.10,/var/www/html/index_9.html,542
2024-01-01T00:16:00,user2,connection_established,192.168.1.11,/var/www/html/index_6.html,151
2024-01-01T00:17:00,user1,file_write,192.168.1.10,/var/www/html/index_6.html,3324
2024-01-01T00:18:00,user2,connection_established,172.16.0.2,/var/www/html/index_3.html,897
2024-01-01T00:19:00,backup_svc,file_write,192.168.1.11,/var/www/html/index_4.html,1046
2024-01-01T00:20:00,user2,connection_established,10.0.0.5,/var/www/html/index_6.html,3383
2024-01-01T00:21:00,admin,connection_established,10.0.0.5,/var/www/html/index_7.html,4705
2024-01-01T00:22:00,user2,file_read,192.168.1.10,/var/www/html/index_1.html,3505
2024-01-01T00:23:00,admin,file_read,172.16.0.2,/var/www/html/index_4.html,372
2024-01-01T00:24:00,guest,logout,192.168.1.11,/var/www/html/index_6.html,2712
2024-01-01T00:25:00,user2,logout,10.0.0.5,/var/www/html/index_2.html,2795
2024-01-01T00:26:00,admin,logout,192.168.1.10,/var/www/html/index_1.html,2024
2024-01-01T00:27:00,user1,file_write,10.0.0.5,/var/www/html/index_4.html,2516
2024-01-01T00:28:00,user1,file_read,172.16.0.2,/var/www/html/index_2.html,2999
2024-01-01T00:29:00,admin,file_read,172.16.0.2,/var/www/html/index_2.html,3739
2024-01-01T00:30:00,backup_svc,logout,192.168.1.11,/var/www/html/index_2.html,2999
2024-01-01T00:31:00,user2,login_success,10.0.0.5,/var/www/html/index_1.html,3452
2024-01-01T00:32:00,user2,login_success,192.168.1.11,/var/www/html/index_7.html,247
2024-01-01T00:33:00,user2,login_success,10.0.0.5,/var/www/html/index_8.html,3959
2024-01-01T00:34:00,guest,file_read,192.168.1.10,/var/www/html/index_8.html,3257
2024-01-01T00:35:00,admin,file_write,192.168.1.10,/var/www/html/index_8.html,1838
2024-01-01T00:36:00,user1,file_read,172.16.0.2,/var/www/html/index_8.html,2684
2024-01-01T00:37:00,admin,file_read,10.0.0.5,/var/www/html/index_6.html,3774
2024-01-01T00:38:00,admin,file_write,192.168.1.10,/var/www/html/index_3.html,3451
2024-01-01T00:39:00,user2,login_success,172.16.0.2,/var/www/html/index_5.html,387
2024-01-01T00:40:00,guest,file_write,10.0.0.5,/var/www/html/index_1.html,2207
2024-01-01T00:41:00,user2,login_success,192.168.1.10,/var/www/html/index_9.html,4323
2024-01-01T00:42:00,admin,logout,192.168.1.11,/var/www/html/index_5.html,3133
2024-01-01T00:43:00,backup_svc,logout,172.16.0.2,/var/www/html/index_5.html,3140
2024-01-01T00:44:00,guest,file_write,172.16.0.2,/var/www/html/index_1.html,4293
2024-01-01T00:45:00,backup_svc,login_success,10.0.0.5,/var/www/html/index_1.html,3520
2024-01-01T00:46:00,user1,logout,192.168.1.11,/var/www/html/index_7.html,3194
2024-01-01T00:47:00,user1,logout,10.0.0.5,/var/www/html/index_4.html,866
2024-01-01T00:48:00,guest,connection_established,10.0.0.5,/var/www/html/index_3.html,4879
2024-01-01T00:49:00,user1,file_write,172.16.0.2,/var/www/html/index_1.html,4568
2024-01-01T00:50:00,unknown_attacker,login_failure,8.8.8.8,/var/www/html/index_5.html,74224
2024-01-01T00:51:00,backup_svc,file_write,192.168.1.10,/var/www/html/index_4.html,4957
2024-01-01T00:52:00,guest,logout,192.168.1.10,/var/www/html/index_9.html,4722
2024-01-01T00:53:00,user1,login_success,172.16.0.2,/var/www/html/index_6.html,1349
2024-01-01T00:54:00,backup_svc,connection_established,172.16.0.2,/var/www/html/index_6.html,3992
2024-01-01T00:55:00,guest,login_success,172.16.0.2,/var/www/html/index_3.html,4798
